election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator,elected_indicator,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED13-001,1,Yvon Godin,Yvon,Yvon,Godin,M,Steelworkers' Representative,Représentant des métallos,N,Y,Bathurst,New Brunswick,Nouveau-Brunswick,NDP,NPD
GE.36.1997,3600,ED13-001,2,Norma Landry,Norma,Norma,Landry,F,Businesswoman,Femme d'affaires,N,N,Shippagan,New Brunswick,Nouveau-Brunswick,PC,PC
GE.36.1997,3600,ED13-001,3,Doug Young,Doug,Doug,Young,M,Lawyer,Avocat,Y,N,Beresford,New Brunswick,Nouveau-Brunswick,Liberal,Libéral
GE.36.1997,3600,ED13-002,1,Raymond Braun,Raymond,Raymond,Braun,M,Medical Doctor,Médecin,N,N,Hillsborough,New Brunswick,Nouveau-Brunswick,Reform,Réforme
GE.36.1997,3600,ED13-002,2,Ian Hamilton,Ian,Ian,Hamilton,M,Vocational Educator,Éducateur en orientation professionnelle,N,N,Memramcook,New Brunswick,Nouveau-Brunswick,PC,PC
GE.36.1997,3600,ED13-002,3,Dominic LeBlanc,Dominic,Dominic,LeBlanc,M,Lawyer-Notary,Avocat-Notaire,N,N,Grande-Digue,New Brunswick,Nouveau-Brunswick,Liberal,Libéral
GE.36.1997,3600,ED13-002,4,Angela Vautour,Angela,Angela,Vautour,F,,,N,Y,Bouctouche,New Brunswick,Nouveau-Brunswick,NDP,NPD
GE.36.1997,3600,ED13-003,1,Eric N. Banks,Eric,Eric,Banks,M,School Bus Driver,Conducteur d'autobus scolaire,N,N,St. George,New Brunswick,Nouveau-Brunswick,Reform,Réforme
GE.36.1997,3600,ED13-003,2,Harold Culbert,Harold,Harold,Culbert,M,Parliamentarian,Parlementaire,Y,N,St. Stephen,New Brunswick,Nouveau-Brunswick,Liberal,Libéral
GE.36.1997,3600,ED13-003,3,Thomas Mitchell,Thomas,Thomas,Mitchell,M,Retired,Retraité,N,N,Saint John,New Brunswick,Nouveau-Brunswick,NLP,PLN
GE.36.1997,3600,ED13-003,4,Rob Rainer,Rob,Rob,Rainer,M,Project Manager,Gestionnaire de projet,N,N,St. Andrews,New Brunswick,Nouveau-Brunswick,NDP,NPD
GE.36.1997,3600,ED13-003,5,Greg Thompson,Greg,Greg,Thompson,M,Businessman,Homme d'affaires,N,Y,St. Andrews,New Brunswick,Nouveau-Brunswick,PC,PC
GE.36.1997,3600,ED13-004,1,Cleveland J. Allaby,Cleveland,Cleveland,Allaby,M,Lawyer,Avocat,N,N,Fredericton,New Brunswick,Nouveau-Brunswick,PC,PC
GE.36.1997,3600,ED13-004,2,Jeanne Geldart,Jeanne,Jeanne,Geldart,F,"Teacher, transcendental meditation",Enseignante de méditation transcendentale,N,N,Fredericton,New Brunswick,Nouveau-Brunswick,NLP,PLN
GE.36.1997,3600,ED13-004,3,Patricia Hughes,Patricia,Patricia,Hughes,F,Law Professor,Professeure en droit,N,N,Fredericton,New Brunswick,Nouveau-Brunswick,NDP,NPD
GE.36.1997,3600,ED13-004,4,Mark McCready,Mark,Mark,McCready,M,Correctional Officer,Agent des services correctionnels,N,N,Fredericton,New Brunswick,Nouveau-Brunswick,Reform,Réforme
GE.36.1997,3600,ED13-004,5,Andy Scott,Andy,Andy,Scott,M,Public Servant,Fonctionnaire,Y,Y,Fredericton,New Brunswick,Nouveau-Brunswick,Liberal,Libéral
GE.36.1997,3600,ED13-005,1,Roger Brown,Roger,Roger,Brown,M,Teacher-Vice Principal,Enseignant-Directeur adjoint,N,N,Hampton,New Brunswick,Nouveau-Brunswick,Reform,Réforme
GE.36.1997,3600,ED13-005,2,John Herron,John,John,Herron,M,Sales Manager,Directeur des ventes,N,Y,Bloomfield,New Brunswick,Nouveau-Brunswick,PC,PC
GE.36.1997,3600,ED13-005,3,Janice Sharon MacMillan,Janice,Janice,MacMillan,F,Consultant,Consultante,N,N,Saint John,New Brunswick,Nouveau-Brunswick,NLP,PLN
GE.36.1997,3600,ED13-005,4,Larry Washburn,Larry,Larry,Washburn,M,Industrial Mechanic,Mécanicien d'entretien d'usine,N,N,Wirral,New Brunswick,Nouveau-Brunswick,NDP,NPD
GE.36.1997,3600,ED13-005,5,Paul Zed,Paul,Paul,Zed,M,Lawyer,Avocat,Y,N,Rothesay,New Brunswick,Nouveau-Brunswick,Liberal,Libéral
GE.36.1997,3600,ED13-006,1,Guy H. Arseneault,Guy,Guy,Arseneault,M,School Teacher,Professeur d'école,Y,N,Dalhousie,New Brunswick,Nouveau-Brunswick,Liberal,Libéral
GE.36.1997,3600,ED13-006,2,André Carrier,André,André,Carrier,M,Firefighter,Pompier,N,N,Dalhousie,New Brunswick,Nouveau-Brunswick,NDP,NPD
GE.36.1997,3600,ED13-006,3,Jean Dubé,Jean,Jean,Dubé,M,Company Head,Chef d'entreprise,N,Y,Campbellton,New Brunswick,Nouveau-Brunswick,PC,PC
GE.36.1997,3600,ED13-006,4,Laurent Maltais,Laurent,Laurent,Maltais,M,Educator,Éducateur,N,N,Campbellton,New Brunswick,Nouveau-Brunswick,NLP,PLN
GE.36.1997,3600,ED13-007,1,Paul D. Doyle,Paul,Paul,Doyle,M,Paper Machine Operator,Opérateur de machine à papier,N,N,Miramichi,New Brunswick,Nouveau-Brunswick,Reform,Réforme
