Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,"26,377.00","2,519.40","2,237.60",281.7,"1,361.50",595,579.2,..,187.2,994.8,91.9,743.3,30.9,128.7,"6,896.30","1,081.30","4,277.10",65.4,11.8,95.1,581.6,13.4,770.5,"1,361.00",359.2,14.8,70.5,142,43.4,84.4,63.1,149.6,207.9,62,73.3,90.9,"1,088.10",509.6,0.4,80.2,439.2,58.7,"4,007.60",493.5,548.7,300.6,52.9,391.1,"1,377.10",231.5,34.7,31.8,53.5,61.5,23.2,333.1,22.5,52,733.8,43.5,21.7,668.5,"2,141.30",187.1,83.2,65.3,152.8,22.7,153.6,118.6,77.4,107.8,79.1,185.7,265.3,28.5,28,47.8,336.2,76.5,65.5,59.9,413.3,308.7,104.6,"1,701.10","1,194.70",198.1,308.4,"1,889.90",218,43.5,158.4,124.4,418,182,49.6,273.6,91.8,330.6,"1,471.70",191.4,15.5,399.5,96.9,75.1,109,24.3,341.4,218.6,-202.8,680.4,521,-601.2,-803
,2012,"27,055.00","2,522.90","2,251.60",271.3,"1,387.40",612.1,579.7,..,195.5,997.8,97.6,741.4,31.6,127.1,"7,121.50","1,122.80","4,422.20",63.8,12.5,99.9,625.7,11.4,763,"1,332.20",354.2,15.7,69.3,133,44.8,81.2,58.4,148.4,205.6,59,69.8,92.8,"1,126.40",521.9,0.5,86.6,456.2,61.1,"4,171.20",561.6,578,323,53.1,370.3,"1,430.60",231.2,35.4,33.4,56.7,54.4,23.6,344.6,22,53.4,775.8,45.3,20.5,710.1,"2,165.10",167.5,84.7,62.8,168.5,23,154.2,124.4,81.9,103.3,85.2,190.5,281.1,31.8,27.7,51.1,322.7,82.3,63.3,59.1,439.1,330.6,108.4,"1,750.90","1,237.90",195.2,317.7,"1,910.50",221.8,46.8,172.9,136.4,404.4,173,52,284.3,93,326,"1,529.70",197.7,15.9,408.4,98.1,77.3,112.5,25.4,361.1,233.2,-175.5,694.1,523.1,-606.5,-786.2
,2013,"27,911.00","2,542.10","2,271.80",270.3,"1,421.20",619.2,598,..,204,"1,021.10",104.1,755.1,32.5,129.4,"7,365.00","1,184.50","4,617.70",65.1,13.9,106.4,670.5,14,692.9,"1,342.30",357.7,14.7,67.4,127.8,47.1,83.3,63.8,153.8,207.1,56.9,67,95.7,"1,177.70",540.9,0.8,90.3,482.4,63.3,"4,444.00",612.9,666.2,354.9,52.3,393,"1,483.10",243.3,38.1,32.8,56.9,59,25.2,352.2,20.4,53.8,814.2,46.9,19.7,747.7,"2,195.10",161,94.5,56.8,188.5,23,156.4,134,83.4,100.1,86.5,193,285.9,28.9,27.8,52.7,307.7,84.8,68.9,61.4,460.3,345.7,114.6,"1,753.00","1,241.10",193.1,318.8,"1,986.90",230.1,48.6,176.5,144.5,408.5,170,57,299.1,114.6,338,"1,575.50",196.1,16.9,421.5,100.2,79.4,113,25.7,375.5,247.1,-187.5,693.5,519.9,-605.4,-795.4
,2014,"28,673.00","2,616.20","2,342.80",273.4,"1,435.50",617.2,615.7,..,202.6,"1,048.30",109.8,773.6,32.4,132.5,"7,646.40","1,238.60","4,770.20",62.9,14.6,114.7,684.9,17.7,742.8,"1,366.80",365.2,15.1,68.3,130.8,47.2,82.6,69.5,157.5,210.6,56.7,63.3,100,"1,214.80",552.9,2.7,97,498.2,64.1,"4,551.20",581,727.4,370.7,55.2,403,"1,506.40",245.4,40.3,33.3,57.6,63.5,27,366.2,19.5,54.8,828.7,57.1,19.5,752.2,"2,246.70",144.9,96.9,54.9,190.5,23.5,164.1,140.4,85.8,105.9,91.1,198.5,305.5,27.4,29.4,54.1,308,91.1,70.5,64,482.5,360.8,121.7,"1,817.60","1,294.40",192.2,331.1,"2,012.50",232.7,50,177.2,144.8,366.1,178.5,62.3,318.6,124.7,357.5,"1,631.40",192.6,16.9,433.2,105.9,82.1,116.1,25.9,396.6,262.1,-225.7,684.7,526.2,-672.4,-764.2
,2015,"28,882.00","2,632.40","2,358.00",274.4,"1,438.20",631.2,610.3,..,196.6,"1,080.20",110.8,798.5,32.7,138.3,"7,714.20","1,287.50","4,913.90",62.1,15.1,125.1,705.4,17.1,588.1,"1,390.60",379,14.9,70,128,46.6,77,72.3,168.4,212.3,57.1,62.5,102.5,"1,251.70",562.4,4.4,102.8,515.4,66.6,"4,422.00",508.4,864.6,392.5,60.5,426.9,"1,235.30",260.8,42.3,33.8,58.7,62.8,27.9,370,21.2,56.2,875.3,59.7,19.8,795.8,"2,267.60",132.8,89.4,53.1,216.4,23.4,171.1,139.5,83.3,110.3,94.9,204.1,293.7,27.9,29.2,55.6,323.6,90.3,66,63,501.1,374.3,126.8,"1,887.70","1,346.10",197.3,344.2,"2,049.50",236.5,52.5,181.2,147.9,338.3,173.6,65.5,355,133,365.9,"1,665.00",191.8,16.4,445.9,107.6,83.7,119.6,25.6,416.6,257.8,-293.4,680.5,561.9,-726.1,-809.7
,2016,"29,373.00","2,696.80","2,417.40",279.4,"1,466.80",651.5,628.3,..,187,"1,046.60",108.3,771.2,31.2,135.8,"7,779.50","1,332.00","5,072.60",61.7,16.1,136.6,670.6,17.1,472.7,"1,463.10",400.4,16.6,69.5,133.5,51,84.4,77.6,180.1,227.1,56.1,64.8,101.8,"1,296.00",561.3,13.6,105,547.3,68.7,"4,498.80",453,954,406.1,63.1,471.3,"1,188.10",268.1,44.9,34.7,60.4,62.9,28.8,384.2,20.9,58.3,929.1,59.1,21.6,848.3,"2,324.80",130.9,93,50.3,238.1,24.2,166.7,148.4,89.1,112.6,100.7,212.9,307.7,28.3,26.5,57.8,326.1,88.6,60.3,62.6,525.2,390.8,134.4,"1,968.20","1,402.30",205.4,360.6,"2,126.50",240.5,57.2,187.4,149.3,352,176.6,68.9,362.5,139.1,393.1,"1,694.00",190.8,17.7,455.5,114.6,78.6,123.1,25.6,430.1,257.9,-442.3,650.7,573.3,-780.7,-885.7
,2017,"30,517.00","2,734.80","2,446.90",287.9,"1,465.10",659.7,637.3,..,168.2,"1,081.10",107.9,800.1,30.8,142.4,"8,040.90","1,380.50","5,220.60",66.3,16.9,143,694.2,17.1,502.4,"1,519.30",418.6,17.6,68.5,133.8,51.4,87.1,81.9,195.3,240.9,54.2,67,102.8,"1,366.20",581.2,26.2,116.9,571,71,"4,947.30",476.7,"1,085.60",459.8,69.3,513.7,"1,338.20",272.8,47.4,35.7,61.5,63.2,29.6,410.1,22.8,61,951.5,59.2,23.6,868.8,"2,380.10",139,93.5,49.1,245.6,25.9,177,143.1,89.6,119.8,108.1,224.7,307,27,28.9,61.1,330.3,87.8,55.9,66.7,553.2,411,142.2,"2,042.00","1,456.40",206.4,379.3,"2,218.10",247.1,61,197.5,156.7,360,180,73.6,373.2,142.1,427,"1,766.70",194.5,17.6,492.5,116.3,75.8,127.2,25.5,452.5,264.7,-549.5,675.4,623.2,-872,-976.1
New Brunswick,1997,"10,977.00","1,190.80","1,049.30",141.5,554.2,217,242.4,..,94.7,541.3,46.7,411.7,16.7,66.2,"2,539.00",377.7,"1,509.60",35.3,3.2,40.2,392.5,3.6,177,650.8,150.9,9,36.4,73.7,19.2,42.3,31.1,73.4,103.5,29.1,33.7,48.4,328.6,166.9,..,27.2,117.7,16.8,"1,600.70",288,293.2,154.8,22.2,158.4,441.2,96,9.8,9.4,12.5,10.9,10,66.6,11.9,15.8,228.7,13.5,7.7,207.5,980.8,100,43.2,41.1,79.7,13.3,64.3,54.6,34.6,41.5,12.6,76.4,67.9,9.7,18.5,20.4,194.7,34.1,46.4,27.7,101.4,63.1,38.3,744,512.5,121.6,109.9,819.3,144.5,17.1,80.1,82.4,159,124,17.9,90.8,19.6,83.9,610,91.9,6.7,168.8,45.5,31.3,46.6,25.5,117.5,76.2,87.5,266.1,249.8,-186.8,-241.6
,1998,"11,408.00","1,227.10","1,073.40",153.7,579.6,224.3,257.3,..,98,562.1,49.1,426.5,17,69.4,"2,581.60",388.9,"1,550.00",37.5,3.4,43.2,402.3,3.3,152.9,684.2,159.4,9.6,38.3,77.3,20.7,44.6,32.8,78.2,107.7,30.6,36.1,48.9,357.8,180.6,..,28.3,130.7,18.2,"1,675.00",300,320.6,158,24.6,174,437.5,102,10.5,9.5,12.6,11.2,9.8,77.1,11,16.5,250.9,14.6,8.4,227.9,"1,043.60",101.7,46.4,44.9,87.7,14.5,72.5,60.3,37.1,44.8,13.6,81.8,71.7,11.6,19.5,21.7,200.4,37.2,47.3,29.1,108.2,67.6,40.6,754.6,523.5,119.5,111.6,866.9,148.3,17.6,86.8,85.2,171.8,125,16.3,100.2,21.6,94.1,648.5,97.5,7.1,175.2,48.8,32.9,48.4,25.3,130.4,82.9,67.8,262.2,278.3,-201.2,-271.4
,1999,"11,993.00","1,269.90","1,109.50",160.4,598.5,243.4,251.9,..,103.2,592,51.7,450,16.6,73.7,"2,641.40",399.1,"1,582.40",40.6,3.8,45.1,420.5,3.2,146.8,724.2,174.6,10.2,39.3,82.8,22.1,46.1,34.9,83.8,111.8,32.9,37.9,47.7,387.7,196,..,30.6,142,19,"1,848.90",353.6,351.2,161.2,26,186.9,490.6,108,11.2,10.4,12.8,10.8,10.1,88.2,10.5,17.2,257.7,15.5,9.1,233,"1,107.40",109.9,50.5,47.5,97.9,15.7,76.7,64.9,40,47.4,14.2,91.3,79.7,12.2,20.5,23.9,195.8,39.5,48.7,30.9,113.7,71.9,41.9,815.5,572.1,128.1,115.4,917.6,156.2,21.7,92.7,82.8,182.7,118,18,112.2,25,108.3,673.8,99.1,7.6,183.1,53.5,34.4,50.5,25.5,136.3,83.7,44.9,278.5,272.8,-215,-291.3
,2000,"12,677.00","1,319.70","1,164.80",154.9,614.7,251.5,254.4,..,108.8,608,53.3,463.1,16.6,74.9,"2,773.50",410.7,"1,641.00",42.3,4.2,50.8,427.1,4.3,193.2,757.5,186.9,10.3,40.2,86.3,22.8,48,36.2,86.8,114.3,35.4,40.7,49.6,426.2,215.4,..,32.8,157.9,20,"1,993.20",382.8,323.3,168.5,25.3,196.3,593.5,113.4,12.7,10.7,13.2,11.2,10,95.3,18.7,18.3,272.5,14.4,11,247,"1,167.30",119.1,56.5,47.7,100.7,16.5,80.7,67.7,43.7,50,13.8,98.1,85.9,13.9,21.2,25.5,203.4,40.8,49.8,32.3,124,77.4,46.6,872.6,624.4,128.7,119.4,984.1,159.6,20.4,95.3,77.6,197.7,119,22,125.3,27.8,139.3,706.3,107.7,7.8,189.7,56.8,35.9,54.6,25.9,143.9,84,57.5,292.9,343.9,-215.4,-364
,2001,"12,990.00","1,376.70","1,215.40",161.3,661.3,265.9,281.5,..,113.9,621.3,54.8,473.6,16.5,76.5,"2,821.00",426.3,"1,701.40",42.4,4.4,54.6,420.6,4.2,167.1,779.1,194.8,10.6,40.7,88,23.4,49.3,36.6,88.4,116.6,37,41.5,52.3,474.4,245.7,0,34.7,172.5,21.5,"1,921.80",375.3,296.3,163.6,25,203.3,556.2,115.4,13.5,10.5,13.9,10.8,10.4,89.5,19.5,18.7,290.7,16.1,11.3,263.3,"1,204.30",123.9,53.8,49.8,104.3,15.5,82.7,69,44,50.6,16.2,98.9,100.1,15.2,21.3,25.6,210,41.4,49.2,33,135.8,86.5,49.3,898.6,637,138.4,123.2,"1,008.80",153.6,21.9,96.1,73.5,220.9,120,18.3,133.7,31.6,139.2,733.9,112.1,7.9,199.4,58.3,36.3,59.5,26,147.1,87.3,62.2,317,354.2,-230.1,-378.8
,2002,"13,678.00","1,432.90","1,264.30",168.6,710.7,272.8,320.1,..,117.7,635.7,56.2,486.1,15.8,77.6,"2,946.70",446.9,"1,777.40",45.2,4.8,56.7,446.1,4,165.7,813.1,199.3,11.4,42.7,92,24.3,49.3,39.1,94,123.8,39.2,44,54.2,511,267.6,0,38.6,181.7,23.1,"2,081.10",405.1,352,171.1,26,214.8,604.8,118.4,14.8,12,14.6,11.1,11,85.6,20.9,18.8,316.2,17.3,11.3,287.6,"1,248.30",125.1,49.9,51.2,107.1,15.6,89.5,71.3,44.4,53.7,16.9,105.1,106.6,16.2,21.2,27,218.4,44.9,50,34.3,151.2,100.1,51.1,931.3,663.1,136.8,131.5,"1,083.80",151.3,22.3,106.1,84.5,231.6,128,16.5,148.4,37.3,157.8,778.9,116.4,8.2,214.9,59.6,38.9,70.6,20.3,157.3,92.6,37,323,393.4,-237.3,-442
,2003,"14,176.00","1,466.80","1,293.10",173.7,769.7,289.9,358.8,..,121,635.6,56,486,16.1,77.4,"3,094.30",469.1,"1,862.70",46.3,5.1,61.4,476,9,164.7,837.3,202,11.3,43.3,94.6,25,53.3,41.3,96.2,129.1,40.7,45.8,54.6,549,291.3,0,41.6,191.2,25,"2,118.00",374.3,339.6,210.7,18.3,221.9,635,125.1,15.6,12.6,15.5,12,11.6,85.3,21.5,18.9,321.7,18.1,11.7,291.9,"1,288.50",125.6,49.5,52.7,116.6,15.6,92.5,71,46.3,55.8,17.6,109.3,115,15.6,20.9,27.8,226.4,44.1,51.2,35.2,163.5,111.7,51.8,964.5,689.2,138.6,136.8,"1,115.20",153.2,25.2,113,98.7,243.2,137,19.4,155.2,39,131.3,806.1,118.3,8.4,227.6,60.4,40.1,71.8,20,163.4,96.1,45.9,329.7,359.7,-229.3,-414.2
,2004,"14,806.00","1,503.20","1,325.00",178.2,800.1,302.9,374.7,..,122.5,648.6,57.2,496,15.4,80,"3,290.70",504.5,"1,988.40",51.1,5.4,65.5,505.8,8.8,161.2,870.5,214.3,11.5,44.2,97,26.3,55.2,43,99.2,133.1,42.8,48,55.9,590.4,311.1,0,44.9,207.6,26.8,"2,218.30",359,349.9,220.4,14.8,229,709.6,130.5,16.4,13,17,12.6,14.1,90,22.2,19.7,332.1,19.6,11.9,300.6,"1,336.60",129,51.2,54.9,120.7,16.1,94.6,72.4,47.9,56.8,19.3,112,126.7,14.9,20.9,29,238.8,43.7,51.2,36.6,170.7,118.6,52.1,997.5,722.5,135.9,139.1,"1,179.70",154.7,27.6,119,107.5,254.1,139,22,165.7,43.9,146.2,829.8,123,8.9,240.6,62.2,41.5,74.3,19.2,161.9,98.3,37.8,359.3,373.1,-262,-432.6
,2005,"15,445.00","1,532.90","1,346.50",186.4,761.5,315.2,325.5,..,120.8,666.1,58.9,509.4,14.8,83.1,"3,480.10",522.7,"2,090.10",53.6,5.6,69.5,529.1,10,199.5,893.5,216.6,11.9,45.7,97.9,28.2,58.3,44.9,101.3,137.3,44.3,50,57.1,632.7,326.2,0,45.5,231.6,29.4,"2,337.20",377,336.1,220.9,15.1,241.3,789.4,137.4,17.4,13.4,18.5,13.4,14.6,99,22.8,21,362.6,20,13.3,329.3,"1,391.40",138.8,54.6,57.8,125.1,17.2,101.8,77.3,48.8,63.5,21,116.8,136.7,14.4,20.8,30.1,232.5,45.1,50.6,38.6,178.4,124.6,53.8,994.4,713.9,133,147.5,"1,254.30",157.5,27.6,124.7,111.5,275.2,141,25.5,175.5,46.6,169.3,867.5,127.4,9.5,248,62.4,43.1,75.8,19.4,173.4,108.4,92.4,394.5,396.4,-251.2,-447.3
,2006,"16,177.00","1,582.60","1,386.90",195.7,759.5,332,313.3,..,114.3,708.8,62.5,542.2,14.6,89.5,"3,657.70",548.4,"2,203.60",58.1,6.2,72.1,545,10.4,213.9,958.2,236.1,12.9,49.3,104.5,29.4,63.6,49.1,109.5,145.5,46.5,53,58.7,695.2,352.7,0,49.7,260.6,32.3,"2,454.40",400.4,342.2,232.4,20.7,257.4,815.2,144.4,18.5,13.9,20,14,15.9,114,23,22.4,372.2,20.4,14.2,337.6,"1,449.00",146.5,57.1,60.5,136.2,17.1,109.7,82.2,50.7,65.2,23.5,120.5,145.3,14,20.4,30.8,233.2,45.8,50.1,40.2,185.7,128.1,57.6,"1,031.30",740.9,134.2,156.2,"1,305.90",159.8,28.8,127,115.6,287.9,147,29.2,187.7,48.7,174.3,891.1,131.9,9.9,257.8,66.9,46.2,76.4,18.9,176.5,106.6,125.3,448.1,400.7,-256.8,-466.7
,2007,"17,104.00","1,641.50","1,434.60",206.9,761.2,346.2,308.9,..,106.1,737.6,62.5,566.3,14.8,94,"3,937.50",579.3,"2,327.80",61.3,6.5,75,634,13.1,240.5,"1,005.20",252.2,13.8,51,110.9,30.1,65.8,50.5,113.6,150.4,48.5,56,62.5,731.1,366.3,0.1,51.9,278.3,34.4,"2,618.00",404.9,350.8,254.8,27.7,286.1,881.4,158,20.3,15.3,22.3,15.3,16.4,117.5,23.2,23.9,400.1,21,14.9,364.3,"1,522.70",151.4,59.6,62.7,147.4,17.4,118.3,85.6,53.8,67.2,29.5,128.5,159.9,15.3,19.8,32.2,234.8,48.1,48.3,42.7,191.8,129.6,62.2,"1,067.40",762.8,138.3,166.4,"1,395.60",165.3,31.7,141.4,115.7,299.4,144,31.9,209.3,57.1,200,929.1,139.5,10.2,264.1,69.5,48.1,83.2,18.3,185.6,110.7,165.2,502.4,414.9,-266.8,-485.3
,2008,"17,886.00","1,712.40","1,503.20",209.2,776.6,360,312.4,..,104.2,735.7,63.5,562.2,14.8,95.1,"4,095.40",604,"2,423.90",63.4,7.2,83.3,629.1,17.7,266.8,"1,041.90",262.7,13.7,53.7,116.1,32.3,65.6,52,114.3,155.2,50.1,60.2,66,792.5,391.8,0.1,57.8,306.7,36.1,"2,840.80",444.5,328,261.4,36.1,308.1,"1,020.10",170.9,21.5,15,23.8,16.2,17.2,129.7,24.1,24.4,424.2,21.5,14.7,388,"1,589.20",155.4,61.9,65.2,146.6,18,130.2,88.3,55.5,72.1,33.8,138.8,171.7,16.6,19.1,34.7,240.9,49.1,47.2,43.8,197,132.1,64.9,"1,113.40",799.2,144.1,170.2,"1,420.10",172.6,30.1,148.1,112.2,299.9,151,31.4,220,61,193.9,975.5,144.8,11.1,275.3,71.2,50.9,87.2,18,200.4,116.6,171.4,524.7,426.4,-284.8,-494.9
,2009,"18,176.00","1,809.60","1,587.60",222,821,373.3,348.6,..,99.1,743,62.8,564.8,15.1,100.2,"4,237.60",640,"2,567.50",65.9,7.6,89.9,644.6,19.3,202.9,"1,077.60",271.4,12.8,53.9,123.2,33.5,67.4,53.4,117.3,162.5,50.9,60.9,70.4,850.4,420.2,0.1,62.1,330.5,37.4,"2,671.50",382.9,414.1,234,35.6,316.2,850.4,175.1,24,14.4,25.7,16.5,17.8,117.1,24.1,23.4,467.1,21.7,15.8,429.6,"1,617.10",148.3,63.1,62.7,129,18.2,129.8,91.8,59.3,81.4,35.2,147.7,185.3,19.3,19.3,37.5,242.4,51.2,48.7,46.9,200.3,135.3,65,"1,143.20",833.4,139.8,169.9,"1,322.90",182,30.2,150,120,265,138,30.2,194.2,56.4,156.9,"1,011.80",144.3,11.4,290.2,71.1,52.1,93,18.1,209.5,122,202.9,524.1,425.7,-267.6,-479.3
,2010,"18,936.00","1,838.40","1,609.40",229,821.5,381.2,343.2,..,97.1,766.7,64.4,585.1,14.6,102.5,"4,411.90",670.3,"2,684.30",67.4,8.1,95.3,630.9,19.1,236.5,"1,082.90",267.4,13.1,55.1,118.4,34.1,69,54.7,122.4,162.1,51.9,60.9,73.8,885.8,435.3,0.2,63.6,347.1,39.7,"2,978.10",382,534.6,268.4,34.6,331.2,961.7,180.4,25.7,13.8,27.3,18.2,18.1,133.4,24.1,24.4,477.4,22.3,16.5,438.6,"1,676.40",151.7,68.3,59.5,134.5,17.8,127.7,94.5,60.5,84,40.5,151.4,199.6,19.4,19.7,38.2,260.9,52.3,49.2,46.7,208.8,141.1,67.7,"1,172.70",856.8,141.1,174.9,"1,379.40",181.4,32.1,158.4,114.3,262.4,157.1,31.8,180.4,70.3,191.3,"1,040.20",143.5,11.7,293.6,71.8,53.8,101.3,18.7,218.5,127.4,195.7,527.9,438.7,-282.2,-488.7
,2011,"19,838.00","1,947.00","1,703.30",243.6,890.9,383.5,407.2,..,100.2,768,66.9,580,14.9,106.2,"4,695.50",704.3,"2,817.60",64.9,8.5,101,655.5,24.1,319.6,"1,087.40",266.8,13,56.3,126.8,35.6,68.7,54.6,124.5,157.6,52.1,57.6,73.8,908.7,439.4,0.3,67.7,359.4,41.8,"3,253.20",369.9,557.4,270.9,45.2,346,"1,176.10",186.2,27.2,15.1,27,19.7,18.4,142.8,24.9,26.1,517.6,23.7,17.4,476.4,"1,709.80",152.2,64.8,52.7,140.3,18,129.2,90,63.4,83.8,42.8,158.1,212.8,19.6,20.1,38.2,276.2,51.5,48.6,47.6,216.8,145.2,71.5,"1,179.90",863.3,136.2,180.4,"1,376.10",181.4,37.9,158.8,112.8,253,137,32.2,181.4,76.2,205.3,"1,063.30",146.1,11.9,297.3,73.7,52.5,106.6,19.1,225.7,130.3,224,583.4,440.5,-292.7,-507.2
,2012,"20,315.00","1,988.10","1,749.10",239,903.4,378.6,420.3,..,104.6,777.5,71.9,579.3,14.9,111.4,"4,837.00",740.9,"2,944.80",63.7,9.1,106.5,643.3,23.6,305.2,"1,104.10",272.5,12.6,55.5,130.9,38,66,54.2,134.9,159.7,50.8,53,76,944.5,457.9,0.4,68.2,374,44,"3,300.80",434.5,563.4,274.3,41.6,327.1,"1,164.40",185.1,27.8,15.9,27.3,15.6,19.4,153,24.4,27.1,549.7,24.8,18.1,506.8,"1,733.90",141.2,66,50.8,150.9,17.5,137.8,97.7,69.5,82.9,45.6,155.2,216.7,21.5,20.6,37.7,280.8,52.3,43.6,45.8,226.5,151.4,75.1,"1,185.80",879.2,128.9,177.7,"1,384.00",184.6,41,173.9,123.3,233,125,34,188.6,78,202.5,"1,094.80",147.6,12.5,309.5,72.3,55.6,110.3,20.1,235.3,131.5,284.7,608.5,443.1,-287.2,-479.7
,2013,"20,928.00","1,994.80","1,759.60",235.2,930.7,376.2,445.7,..,108.9,795,73.1,588.3,15.1,118.4,"4,993.50",775.3,"3,057.50",65.3,9.5,112.6,686.6,28,258.6,"1,140.50",278.1,11.9,53,138.4,38.9,69.5,59.6,147.1,160,49.4,54.1,80.6,941.9,439.3,0.6,64.8,391.2,46.1,"3,493.50",458.9,630.6,289.6,43.3,331.8,"1,231.10",184.9,29.6,15.8,27.9,15.7,19.9,163.2,23.5,27.7,571.6,25.5,19.2,526.9,"1,749.20",125,71.2,49.8,162,17.5,144.5,107.9,71.9,85.8,46.3,151,221.7,19.7,21.4,37.3,277.2,50.3,38.8,49.9,232.2,152.1,80.1,"1,193.70",887.5,128.1,178.1,"1,459.00",189.6,42,175.6,134.8,235.4,127.6,37.4,198,94.8,224,"1,097.60",146.7,12.8,290.6,75.3,53.3,112.9,20.4,245.1,140.5,334.8,617.3,459.3,-280.7,-461.1
,2014,"21,650.00","2,062.70","1,831.00",231.7,946.9,383,456.1,..,107.9,825.7,78.9,609.5,15.2,122.1,"5,224.20",806.4,"3,151.80",64.8,9.8,119.3,721,31.5,319.7,"1,181.80",290.3,12.4,55.4,144.1,38.8,75.2,63.1,152.3,164.8,49.7,53.6,82.2,975.6,450.8,1.9,70.6,405.3,47,"3,641.30",447.6,689.4,297.1,47.3,362.5,"1,265.90",195.1,30.9,16.5,29.5,16,20.6,171.9,22.9,28,600.8,31.6,19.6,549.6,"1,795.30",126.6,78,49.6,170.3,17.7,147.8,112.9,73.8,88.5,47.6,154.9,230.6,18,22.4,38.1,278.4,51.8,36.8,51.6,235.3,149.7,85.6,"1,226.20",914.1,127.8,184.4,"1,500.90",193,42.8,176.6,135.2,243.9,128.4,39.4,209.7,105,226.9,"1,131.30",147.1,12.7,302.2,72.3,57.2,115,20.5,258.1,146.2,301.9,607.3,462,-287.3,-480.1
,2015,"22,047.00","2,145.10","1,907.10",237.9,958.2,398,455.7,..,104.5,860.5,80.3,634.2,15,131,"5,315.60",830.3,"3,255.30",66.1,10.5,126.4,703.5,30.3,293.3,"1,222.70",309.4,12,58.3,146.1,38.1,71.8,65.2,164.8,168.6,51.4,53.6,83.3,"1,027.80",483.4,3.2,76.1,416.5,48.7,"3,601.80",406.6,821.4,332.6,47.8,375.1,"1,065.70",204.1,32,17.4,32.8,16.2,21.1,176.4,23.9,28.6,635.6,33.2,21.4,581,"1,820.60",123.2,75.4,49.7,173.1,18.2,158.8,116.9,73.6,92.5,49.1,155.2,231.7,18.3,21.7,38.5,283.3,54.1,35.5,52,235.6,145.9,89.8,"1,274.90",953.5,129.6,191.8,"1,537.20",194.7,44.9,180.6,136,241.5,124.3,41.9,228.4,112.4,232.6,"1,170.90",149.4,12.5,321,75.7,59.2,116.2,20.3,270.9,145.6,240.5,605.3,459.4,-295.7,-528.5
